candidate,single_side_cost_bps,rebalance_date,sub_strategy,preset,allocation,sub_nav,nav_weight,holding_count,holdings_json,holdings_sha256
A,10,2023-12-29,quality,fcf_roe_value,0.5,702294.05639377853,0.50001774865963555,15,"[""ALSN"", ""BLDR"", ""CHRW"", ""CROX"", ""DVA"", ""GM"", ""HRB"", ""LEN"", ""MOH"", ""PHM"", ""THC"", ""TOL"", ""V"", ""VZ"", ""WU""]",1c346cfbedfb3a60c8b1ca56c5a704e194d3e8b094dbbdff7e4c471f9d41e088
A,10,2024-06-28,growth,growth_value,0.5,770215.73791911569,0.49991334527330999,30,"[""ACGL"", ""AM"", ""APO"", ""AXP"", ""BYD"", ""CCL"", ""CPAY"", ""CPNG"", ""CVNA"", ""DAL"", ""EEFT"", ""EOG"", ""EXPE"", ""F"", ""FRHC"", ""GL"", ""HALO"", ""KNSL"", ""KO"", ""LEA"", ""MPC"", ""MTB"", ""PEG"", ""RNR"", ""TGT"", ""VICI"", ""VLO"", ""VOYA"", ""WFRD"", ""WSC""]",88b1110612188f9c7259ff05c78fae2d77fc01f3e403133c34a86687518f3e12
A,10,2024-06-28,quality,fcf_roe_value,0.5,770482.75553283934,0.50008665472669001,27,"[""ADM"", ""AGCO"", ""ALSN"", ""AM"", ""ARW"", ""BG"", ""BYD"", ""CE"", ""CF"", ""CNH"", ""CNM"", ""CROX"", ""EOG"", ""GM"", ""HOG"", ""MGM"", ""MIDD"", ""MPC"", ""NEU"", ""NUE"", ""OLN"", ""THC"", ""TOL"", ""V"", ""VZ"", ""WCC"", ""WU""]",94f14afca6dbd7f4fbedf6fb5020fdf9bc2c7332433cca2f0c5d5a91108251da
A,10,2024-12-31,growth,growth_value,0.5,798786.07048977108,0.49999043918151775,30,"[""ACGL"", ""AIZ"", ""AM"", ""AMP"", ""CROX"", ""DAL"", ""EEFT"", ""EOG"", ""EXPE"", ""F"", ""FITB"", ""FRHC"", ""GEN"", ""GL"", ""HOOD"", ""JPM"", ""KNSL"", ""MGM"", ""MPC"", ""MTB"", ""NOV"", ""NSA"", ""PEG"", ""PEP"", ""RNR"", ""SJM"", ""VICI"", ""VLO"", ""VOYA"", ""WFRD""]",495a98bb9066b560dbf860752b3f31276a137ebe959a053b9928719d4e60f676
A,10,2024-12-31,quality,fcf_roe_value,0.5,798816.61926841817,0.50000956081848225,25,"[""ADM"", ""AM"", ""ARW"", ""BLDR"", ""CE"", ""CF"", ""CROX"", ""DVA"", ""DVN"", ""EOG"", ""GM"", ""HAL"", ""HOG"", ""LEN"", ""MGM"", ""MIDD"", ""MPC"", ""OLN"", ""OVV"", ""SLGN"", ""TDC"", ""THC"", ""V"", ""VZ"", ""WU""]",d78a1703526d63fab74a03b4a5b7b27f80f2f185a55ee52d67154cdbb390bb43
A,10,2025-06-30,growth,growth_value,0.5,803807.88672784809,0.49985107513186061,30,"[""ALK"", ""CCL"", ""DUK"", ""DVA"", ""EVRG"", ""EXPE"", ""FITB"", ""FNF"", ""FTI"", ""HALO"", ""HOOD"", ""IBKR"", ""IRDM"", ""KNSL"", ""LAZ"", ""LNC"", ""LVS"", ""META"", ""MRK"", ""MUSA"", ""NVR"", ""PEP"", ""PGR"", ""SYF"", ""UAL"", ""VIRT"", ""VST"", ""WFRD"", ""WMT"", ""XOM""]",05b86589d826e3910a16967176401ab5f769bf5ccd489625fcec088b3f081aa0
A,10,2025-06-30,quality,fcf_roe_value,0.5,804286.85732327495,0.50014892486813933,23,"[""APA"", ""BLDR"", ""CF"", ""CROX"", ""DAL"", ""DVA"", ""DVN"", ""EEFT"", ""EOG"", ""EXPE"", ""HAL"", ""HOG"", ""INGR"", ""MGM"", ""OC"", ""OMC"", ""SLB"", ""TDC"", ""V"", ""VZ"", ""WEN"", ""WU"", ""YETI""]",2360b6822fbaa7a87a209b24224ba8f58641d34709f06a0f11841c1c78c0c432
A,10,2025-12-31,growth,growth_value,0.5,867012.55074690143,0.49999615288742399,30,"[""CCL"", ""CI"", ""CROX"", ""CRUS"", ""DUK"", ""DVA"", ""EVR"", ""EVRG"", ""EXPE"", ""FNF"", ""FOUR"", ""FTI"", ""HALO"", ""HHH"", ""IBKR"", ""KBR"", ""KNSL"", ""LAZ"", ""LNC"", ""LVS"", ""MU"", ""MUSA"", ""NLY"", ""PEP"", ""PFG"", ""PGR"", ""PR"", ""QSR"", ""SYF"", ""VIRT""]",090336fbf1735d6e82fb4c42135586ecc39bd8e79dd854ff08e08ffa6fd97b00
A,10,2025-12-31,quality,fcf_roe_value,0.5,867025.89282910863,0.50000384711257606,18,"[""CF"", ""CHTR"", ""CROX"", ""DAL"", ""DVA"", ""DVN"", ""EEFT"", ""EOG"", ""FOUR"", ""HOG"", ""HRB"", ""LW"", ""MGM"", ""OC"", ""TDC"", ""V"", ""VZ"", ""WU""]",d59624140db7e492e9a14236b544ddb6356a38b4694531da50708eb05788cfd5
A,10,2026-06-30,growth,growth_value,0.5,1016254.0272583152,0.49993404720473639,30,"[""AMT"", ""CACC"", ""CBOE"", ""CF"", ""CRUS"", ""CVNA"", ""D"", ""DLTR"", ""DXCM"", ""EQT"", ""EVR"", ""EXE"", ""FAF"", ""FOX"", ""HALO"", ""IBKR"", ""KEY"", ""KLAC"", ""KNSL"", ""LYFT"", ""MPC"", ""NEM"", ""NI"", ""OMF"", ""PEG"", ""PGR"", ""PNFP"", ""RNR"", ""VIRT"", ""WTM""]",2af978a703cb0c1231235451a568a26a7367732aa3edbf9c465acebed8966a7c
A,10,2026-06-30,quality,fcf_roe_value,0.5,1016522.1618019429,0.50006595279526356,29,"[""ACN"", ""ADBE"", ""ADT"", ""BAH"", ""CHTR"", ""CPB"", ""CTSH"", ""DAL"", ""DOX"", ""DVN"", ""EEFT"", ""EXPE"", ""G"", ""GAP"", ""GDDY"", ""GEN"", ""HRB"", ""INTU"", ""IT"", ""KLAC"", ""LULU"", ""LW"", ""MELI"", ""PYPL"", ""TDC"", ""THC"", ""V"", ""VZ"", ""WU""]",493f60c9655475009dae3a27295cd597e748cc0f6a26e169caf4313e5fd58607
A,20,2021-06-30,growth,growth_value,0.5,499001.99600798386,0.49999999999999983,30,"[""ACGL"", ""ACI"", ""AMKR"", ""BJ"", ""BOKF"", ""CBOE"", ""CBSH"", ""CNC"", ""COKE"", ""DKS"", ""DTE"", ""EVR"", ""EXP"", ""FRHC"", ""GL"", ""HOLX"", ""HRB"", ""LAZ"", ""LPX"", ""MO"", ""PB"", ""PEG"", ""PGR"", ""PRI"", ""SGI"", ""VIRT"", ""VRTX"", ""WSM"", ""WTM"", ""WY""]",62fd1a60a8111d93903ba698558ae84802d80aa973877dc67828180d378545c5
A,20,2021-06-30,quality,fcf_roe_value,0.5,499001.99600798421,0.50000000000000022,18,"[""ALSN"", ""CSX"", ""DKS"", ""ELV"", ""FAF"", ""FNF"", ""GM"", ""IBM"", ""LOPE"", ""MOH"", ""MUSA"", ""OMC"", ""PAG"", ""PHM"", ""URI"", ""V"", ""VZ"", ""WSM""]",5f5dae480556e441bff02fddaa3d55290433e4468d944f8722b856db90614e7f
A,20,2021-12-31,growth,growth_value,0.5,551539.85211332957,0.49993071053564131,30,"[""ACGL"", ""ACI"", ""BJ"", ""CMS"", ""COKE"", ""DTE"", ""EBAY"", ""EVR"", ""EXP"", ""FDX"", ""GL"", ""HOLX"", ""HPE"", ""HRB"", ""KEY"", ""LAD"", ""LAZ"", ""LITE"", ""LPX"", ""MOH"", ""PB"", ""PGR"", ""PRI"", ""REGN"", ""SFM"", ""SGI"", ""TOL"", ""VIRT"", ""WSM"", ""WY""]",e44778280d86cffc029d01fde63df89fdb8ecb91a754cd39b02025546e841477
A,20,2021-12-31,quality,fcf_roe_value,0.5,551692.73690364149,0.50006928946435858,13,"[""ALSN"", ""DKS"", ""FAF"", ""FNF"", ""IBM"", ""LOPE"", ""MOH"", ""MUSA"", ""OMC"", ""PAG"", ""SFM"", ""V"", ""VZ""]",27d76aa6d80f53ea2ec744bd1ad5e573bdd1b7c15970e1862c9c2ca16695180c
A,20,2022-06-30,growth,growth_value,0.5,486582.32370371185,0.49976543012160196,30,"[""ABBV"", ""ALLY"", ""AN"", ""AXP"", ""BLDR"", ""BYD"", ""CF"", ""CLF"", ""CNH"", ""COF"", ""COP"", ""ETSY"", ""FCX"", ""HOG"", ""HRB"", ""LPX"", ""M"", ""MRNA"", ""NLY"", ""NRG"", ""NUE"", ""OLN"", ""PFE"", ""PRU"", ""REGN"", ""RITM"", ""SYF"", ""WEC"", ""WMB"", ""WY""]",1785604d17a259021d30d33fc05ff6987f2b7d070db5f672263ec5eb7c77c9b8
A,20,2022-06-30,quality,fcf_roe_value,0.5,487039.08821611141,0.50023456987839809,28,"[""ACI"", ""ALSN"", ""BLDR"", ""CE"", ""CROX"", ""DKS"", ""DVA"", ""FAF"", ""FNF"", ""GM"", ""HUN"", ""LAD"", ""LOPE"", ""MOH"", ""MUSA"", ""NRG"", ""NVR"", ""PAG"", ""PFE"", ""REGN"", ""RH"", ""SAIC"", ""SFM"", ""SGI"", ""THC"", ""V"", ""WHR"", ""WSM""]",28fe25b9159f54b64798c18aaa240b278271dd260b28f572c7a7e3c5ff95700a
A,20,2022-12-30,growth,growth_value,0.5,561813.85096245119,0.50015442854975567,30,"[""ABBV"", ""ALLY"", ""AN"", ""AXP"", ""BLDR"", ""BX"", ""BYD"", ""CF"", ""CLF"", ""COP"", ""DBX"", ""DOW"", ""FCX"", ""GS"", ""LPX"", ""M"", ""MKSI"", ""MRNA"", ""NLY"", ""NUE"", ""OLN"", ""OMF"", ""ON"", ""PVH"", ""RITM"", ""ST"", ""SYF"", ""V"", ""WEC"", ""WY""]",f0a30e3dbeaf223dc9980f4adbb658ef6b1460769917e7697206b820df1d627f
